"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","192.53","193.90","194.40","191.73","42.67M","-0.54%"
"12/28/2023","193.58","194.14","194.66","193.17","34.05M","0.22%"
"12/27/2023","193.15","192.49","193.50","191.09","48.09M","0.05%"
"12/26/2023","193.05","193.61","193.89","192.83","28.92M","-0.28%"
"12/22/2023","193.60","195.18","195.41","192.97","37.15M","-0.55%"
"12/21/2023","194.68","196.10","197.08","193.50","46.48M","-0.08%"
"12/20/2023","194.83","196.90","197.68","194.83","52.24M","-1.07%"
"12/19/2023","196.94","196.16","196.95","195.89","40.71M","0.54%"
"12/18/2023","195.89","196.09","196.63","194.39","55.75M","-0.85%"
"12/15/2023","197.57","197.53","198.40","197.00","128.54M","-0.27%"
"12/14/2023","198.11","198.02","199.62","196.16","66.83M","0.08%"
"12/13/2023","197.96","195.09","198.00","194.85","70.40M","1.67%"
"12/12/2023","194.71","193.08","194.72","191.72","52.70M","0.79%"
"12/11/2023","193.18","193.11","193.49","191.42","60.94M","-1.29%"
"12/08/2023","195.71","194.20","195.99","193.67","53.41M","0.74%"
"12/07/2023","194.27","193.63","195.00","193.59","47.48M","1.01%"
"12/06/2023","192.32","194.45","194.76","192.11","41.09M","-0.57%"
"12/05/2023","193.42","190.21","194.40","190.18","66.63M","2.11%"
"12/04/2023","189.43","189.98","190.05","187.45","43.39M","-0.95%"
"12/01/2023","191.24","190.33","191.56","189.23","45.70M","0.68%"
"11/30/2023","189.95","189.84","190.32","188.19","48.79M","0.31%"
"11/29/2023","189.37","190.90","192.09","188.97","43.01M","-0.54%"
"11/28/2023","190.40","189.78","191.08","189.40","38.42M","0.32%"
"11/27/2023","189.79","189.92","190.67","188.90","40.55M","-0.09%"
"11/24/2023","189.97","190.87","190.90","189.25","24.05M","-0.70%"
"11/22/2023","191.31","191.49","192.93","190.82","39.63M","0.35%"
"11/21/2023","190.64","191.41","191.52","189.74","38.13M","-0.42%"
"11/20/2023","191.45","189.89","191.90","189.88","46.54M","0.93%"
"11/17/2023","189.69","190.25","190.38","188.57","50.94M","-0.01%"
"11/16/2023","189.71","189.57","190.96","188.65","54.41M","0.90%"
"11/15/2023","188.01","187.85","189.50","187.78","53.79M","0.30%"
"11/14/2023","187.44","187.70","188.11","186.30","60.11M","1.43%"
"11/13/2023","184.80","185.82","186.03","184.21","43.63M","-0.86%"
"11/10/2023","186.40","183.97","186.57","183.53","66.18M","2.19%"
"11/09/2023","182.41","182.96","184.12","181.81","53.76M","-0.26%"
"11/08/2023","182.89","182.35","183.45","181.59","49.34M","0.59%"
"11/07/2023","181.82","179.18","182.44","178.97","70.53M","1.45%"
"11/06/2023","179.23","176.38","179.43","176.21","63.84M","1.46%"
"11/03/2023","176.65","174.24","176.82","173.35","79.83M","-0.52%"
"11/02/2023","177.57","175.52","177.78","175.46","77.33M","2.07%"
"11/01/2023","173.97","171.00","174.23","170.12","56.93M","1.87%"
"10/31/2023","170.77","169.35","170.90","167.90","44.85M","0.28%"
"10/30/2023","170.29","169.02","171.17","168.87","51.13M","1.23%"
"10/27/2023","168.22","166.91","168.96","166.83","58.50M","0.80%"
"10/26/2023","166.89","170.37","171.38","165.67","70.63M","-2.46%"
"10/25/2023","171.10","171.88","173.06","170.65","57.16M","-1.35%"
"10/24/2023","173.44","173.05","173.67","171.45","43.82M","0.25%"
"10/23/2023","173.00","170.91","174.01","169.93","55.98M","0.07%"
"10/20/2023","172.88","175.31","175.42","172.64","64.24M","-1.47%"
"10/19/2023","175.46","176.04","177.84","175.19","59.30M","-0.22%"
"10/18/2023","175.84","175.58","177.57","175.11","54.76M","-0.74%"
"10/17/2023","177.15","176.65","178.42","174.80","57.55M","-0.88%"
"10/16/2023","178.72","176.75","179.07","176.51","52.52M","-0.07%"
"10/13/2023","178.85","181.42","181.93","178.14","51.46M","-1.03%"
"10/12/2023","180.71","180.07","182.34","179.04","56.74M","0.51%"
"10/11/2023","179.80","178.20","179.85","177.60","47.55M","0.79%"
"10/10/2023","178.39","178.10","179.72","177.95","43.70M","-0.34%"
"10/09/2023","178.99","176.81","179.05","175.80","42.39M","0.85%"
"10/06/2023","177.49","173.80","177.99","173.18","57.27M","1.48%"
"10/05/2023","174.91","173.79","175.45","172.68","48.53M","0.72%"
"10/04/2023","173.66","171.09","174.21","170.97","53.02M","0.73%"
"10/03/2023","172.40","172.26","173.63","170.82","49.59M","-0.78%"
"10/02/2023","173.75","171.22","174.30","170.93","52.16M","1.48%"
"09/29/2023","171.21","172.02","173.07","170.34","51.86M","0.30%"
"09/28/2023","170.69","169.34","172.03","167.62","56.29M","0.15%"
"09/27/2023","170.43","172.62","173.04","169.05","66.92M","-0.89%"
"09/26/2023","171.96","174.82","175.20","171.66","64.59M","-2.34%"
"09/25/2023","176.08","174.20","176.97","174.15","46.17M","0.74%"
"09/22/2023","174.79","174.67","177.08","174.05","56.73M","0.49%"
"09/21/2023","173.93","174.55","176.30","173.86","63.15M","-0.89%"
"09/20/2023","175.49","179.26","179.70","175.40","58.44M","-2.00%"
"09/19/2023","179.07","177.52","179.63","177.13","51.83M","0.62%"
"09/18/2023","177.97","176.48","179.38","176.17","67.26M","1.69%"
"09/15/2023","175.01","176.48","176.49","173.82","109.26M","-0.42%"
"09/14/2023","175.74","174.00","176.10","173.58","60.90M","0.88%"
"09/13/2023","174.21","176.51","177.30","173.98","84.27M","-1.19%"
"09/12/2023","176.30","179.49","180.13","174.82","90.37M","-1.71%"
"09/11/2023","179.36","180.07","180.30","177.34","58.95M","0.66%"
"09/08/2023","178.18","178.35","180.24","177.79","65.60M","0.35%"
"09/07/2023","177.56","175.18","178.21","173.54","112.49M","-2.92%"
"09/06/2023","182.91","188.40","188.85","181.47","81.76M","-3.58%"
"09/05/2023","189.70","188.28","189.98","187.61","45.28M","0.13%"
"09/01/2023","189.46","189.49","189.92","188.28","45.77M","0.85%"
"08/31/2023","187.87","187.84","189.12","187.48","60.79M","0.12%"
"08/30/2023","187.65","184.94","187.85","184.74","60.81M","1.92%"
"08/29/2023","184.12","179.70","184.90","179.50","53.00M","2.18%"
"08/28/2023","180.19","180.09","180.59","178.54","43.82M","0.88%"
"08/25/2023","178.61","177.38","179.15","175.82","51.45M","1.26%"
"08/24/2023","176.38","180.67","181.10","176.01","54.95M","-2.62%"
"08/23/2023","181.12","178.52","181.55","178.32","52.72M","2.19%"
"08/22/2023","177.23","177.06","177.68","176.25","42.08M","0.79%"
"08/21/2023","175.84","175.07","176.13","173.74","46.31M","0.77%"
"08/18/2023","174.49","172.30","175.10","171.96","61.17M","0.28%"
"08/17/2023","174.00","177.14","177.51","173.48","66.06M","-1.46%"
"08/16/2023","176.57","177.13","178.54","176.50","46.96M","-0.50%"
"08/15/2023","177.45","178.88","179.48","177.05","43.62M","-1.12%"
"08/14/2023","179.46","177.97","179.69","177.30","43.68M","0.94%"
"08/11/2023","177.79","177.32","178.62","176.55","52.04M","-0.10%"
"08/10/2023","177.97","179.48","180.75","177.60","54.69M","-0.12%"
"08/09/2023","178.19","180.87","180.93","177.01","60.38M","-0.90%"
"08/08/2023","179.80","179.69","180.27","177.58","67.82M","0.53%"
"08/07/2023","178.85","182.13","183.13","177.35","97.58M","-1.73%"
"08/04/2023","181.99","185.52","187.38","181.92","115.96M","-4.80%"
"08/03/2023","191.17","191.57","192.37","190.69","62.24M","-0.73%"
"08/02/2023","192.58","195.04","195.18","191.85","50.39M","-1.55%"
"08/01/2023","195.60","196.24","196.73","195.28","35.28M","-0.43%"
"07/31/2023","196.45","196.06","196.49","195.26","38.82M","0.32%"
"07/28/2023","195.83","194.67","196.63","194.14","48.29M","1.35%"
"07/27/2023","193.22","196.02","197.20","192.55","47.46M","-0.66%"
"07/26/2023","194.50","193.67","195.64","193.32","47.47M","0.45%"
"07/25/2023","193.62","193.33","194.44","192.91","37.28M","0.45%"
"07/24/2023","192.75","193.41","194.91","192.25","45.51M","0.42%"
"07/21/2023","191.94","194.10","194.97","191.23","71.95M","-0.62%"
"07/20/2023","193.13","195.09","196.47","192.49","59.58M","-1.01%"
"07/19/2023","195.10","193.10","198.23","192.65","80.51M","0.71%"
"07/18/2023","193.73","193.35","194.33","192.41","48.35M","-0.13%"
"07/17/2023","193.99","191.90","194.32","191.81","50.52M","1.73%"
"07/14/2023","190.69","190.23","191.18","189.63","41.62M","0.08%"
"07/13/2023","190.54","190.50","191.19","189.78","41.34M","0.41%"
"07/12/2023","189.77","189.68","191.70","188.47","60.75M","0.90%"
"07/11/2023","188.08","189.16","189.30","186.60","46.64M","-0.28%"
"07/10/2023","188.61","189.26","189.99","187.04","59.92M","-1.09%"
"07/07/2023","190.68","191.41","192.67","190.24","46.82M","-0.59%"
"07/06/2023","191.81","189.84","192.02","189.20","45.16M","0.25%"
"07/05/2023","191.33","191.57","192.98","190.62","46.92M","-0.59%"
"07/03/2023","192.46","193.78","193.88","191.76","31.46M","-0.78%"
"06/30/2023","193.97","191.63","194.48","191.26","85.21M","2.31%"
"06/29/2023","189.59","189.08","190.07","188.94","46.35M","0.18%"
"06/28/2023","189.25","187.93","189.90","187.60","51.22M","0.63%"
"06/27/2023","188.06","185.89","188.39","185.67","50.73M","1.51%"
"06/26/2023","185.27","186.83","188.05","185.23","48.09M","-0.76%"
"06/23/2023","186.68","185.55","187.56","185.01","53.12M","-0.17%"
"06/22/2023","187.00","183.74","187.04","183.67","51.25M","1.65%"
"06/21/2023","183.96","184.90","185.41","182.59","49.52M","-0.57%"
"06/20/2023","185.01","184.41","186.10","184.41","49.80M","0.05%"
"06/16/2023","184.92","186.73","186.99","184.27","101.26M","-0.59%"
"06/15/2023","186.01","183.96","186.52","183.78","65.43M","1.12%"
"06/14/2023","183.95","183.37","184.39","182.02","57.46M","0.35%"
"06/13/2023","183.31","182.80","184.15","182.44","54.93M","-0.26%"
"06/12/2023","183.79","181.27","183.89","180.97","54.76M","1.56%"
"06/09/2023","180.96","181.50","182.23","180.63","48.90M","0.22%"
"06/08/2023","180.57","177.90","180.84","177.46","50.21M","1.55%"
"06/07/2023","177.82","178.44","181.21","177.32","61.94M","-0.78%"
"06/06/2023","179.21","179.96","180.12","177.43","64.85M","-0.21%"
"06/05/2023","179.58","182.63","184.95","178.04","121.95M","-0.76%"
"06/02/2023","180.95","181.03","181.78","179.26","62.00M","0.48%"
"06/01/2023","180.09","177.70","180.12","176.93","68.90M","1.60%"
"05/31/2023","177.25","177.32","179.35","176.76","99.63M","-0.03%"
"05/30/2023","177.30","176.96","178.99","176.57","55.96M","1.07%"
"05/26/2023","175.43","173.32","175.77","173.11","54.84M","1.41%"
"05/25/2023","172.99","172.41","173.90","171.69","56.06M","0.67%"
"05/24/2023","171.84","171.09","172.42","170.52","45.14M","0.16%"
"05/23/2023","171.56","173.13","173.38","171.27","50.75M","-1.52%"
"05/22/2023","174.20","173.98","174.71","173.45","43.57M","-0.55%"
"05/19/2023","175.16","176.39","176.39","174.94","55.81M","0.06%"
"05/18/2023","175.05","173.00","175.24","172.58","65.50M","1.37%"
"05/17/2023","172.69","171.71","172.93","170.42","57.95M","0.36%"
"05/16/2023","172.07","171.99","173.14","171.80","42.11M","0.00%"
"05/15/2023","172.07","173.16","173.21","171.47","37.27M","-0.29%"
"05/12/2023","172.57","173.62","174.06","171.00","45.53M","-0.68%"
"05/11/2023","173.75","173.85","174.59","172.17","49.51M","0.11%"
"05/10/2023","173.55","173.02","174.03","171.90","53.72M","1.04%"
"05/09/2023","171.77","173.05","173.54","171.60","45.33M","-1.00%"
"05/08/2023","173.50","172.48","173.85","172.11","55.96M","-0.04%"
"05/05/2023","173.57","170.98","174.30","170.76","113.45M","4.69%"
"05/04/2023","165.79","164.89","167.04","164.31","81.24M","-0.99%"
"05/03/2023","167.45","169.50","170.92","167.16","65.14M","-0.65%"
"05/02/2023","168.54","170.09","170.35","167.54","48.43M","-0.62%"
"05/01/2023","169.59","169.28","170.45","168.64","52.47M","-0.05%"
"04/28/2023","169.68","168.49","169.85","167.88","55.28M","0.75%"
"04/27/2023","168.41","165.19","168.56","165.19","64.90M","2.84%"
"04/26/2023","163.76","163.05","165.28","162.80","45.50M","-0.01%"
"04/25/2023","163.77","165.19","166.30","163.73","48.71M","-0.94%"
"04/24/2023","165.33","165.00","165.60","163.89","41.95M","0.19%"
"04/21/2023","165.02","165.05","166.45","164.49","58.34M","-0.98%"
"04/20/2023","166.65","166.09","167.87","165.56","52.46M","-0.58%"
"04/19/2023","167.63","165.80","168.16","165.54","47.72M","0.70%"
"04/18/2023","166.47","166.10","167.41","165.65","49.92M","0.75%"
"04/17/2023","165.23","165.09","165.39","164.03","41.52M","0.01%"
"04/14/2023","165.21","164.59","166.32","163.82","49.39M","-0.21%"
"04/13/2023","165.56","161.63","165.80","161.42","68.45M","3.41%"
"04/12/2023","160.10","161.22","162.06","159.78","50.13M","-0.44%"
"04/11/2023","160.80","162.35","162.36","160.51","47.64M","-0.76%"
"04/10/2023","162.03","161.42","162.03","160.08","47.72M","-1.60%"
